case_id,slide_id,label
0,480124,placeholder
0,480120,placeholder
0,a482938,placeholder
0,a482608,placeholder
0,514806,placeholder
0,484302,placeholder
0,484293,placeholder
0,484203,placeholder
0,484199,placeholder
0,484197,placeholder
0,484195,placeholder
0,484189,placeholder
0,483933,placeholder
0,483929,placeholder
0,483927,placeholder
0,483923,placeholder
0,483920,placeholder
0,483889,placeholder
0,483886,placeholder
0,483884,placeholder
0,483883,placeholder
0,483882,placeholder
0,483881,placeholder
0,483878,placeholder
0,483877,placeholder
0,483876,placeholder
0,483874,placeholder
0,483857,placeholder
0,483850,placeholder
0,483849,placeholder
0,483847,placeholder
0,483844,placeholder
0,483842,placeholder
0,483838,placeholder
0,483836,placeholder
0,483835,placeholder
0,483833,placeholder
0,483831,placeholder
0,483830,placeholder
0,483828,placeholder
0,483825,placeholder
0,483823,placeholder
0,483820,placeholder
0,483819,placeholder
0,483817,placeholder
0,483814,placeholder
0,483813,placeholder
0,483812,placeholder
0,483811,placeholder
0,483810,placeholder
0,483809,placeholder
0,483808,placeholder
0,483807,placeholder
0,483805,placeholder
0,483802,placeholder
0,483801,placeholder
0,483800,placeholder
0,483798,placeholder
0,483796,placeholder
0,483794,placeholder
0,483793,placeholder
0,483792,placeholder
0,483791,placeholder
0,483790,placeholder
0,483789,placeholder
0,483788,placeholder
0,483787,placeholder
0,483786,placeholder
0,483785,placeholder
0,483784,placeholder
0,483781,placeholder
0,483780,placeholder
0,483779,placeholder
0,483778,placeholder
0,483777,placeholder
0,483776,placeholder
0,483775,placeholder
0,483774,placeholder
0,483773,placeholder
0,483772,placeholder
0,483771,placeholder
0,483769,placeholder
0,483768,placeholder
0,483767,placeholder
0,483766,placeholder
0,483765,placeholder
0,483764,placeholder
0,483763,placeholder
0,483762,placeholder
0,483761,placeholder
0,483760,placeholder
0,483758,placeholder
0,483757,placeholder
0,483756,placeholder
0,483755,placeholder
0,483754,placeholder
0,483753,placeholder
0,483752,placeholder
0,483751,placeholder
0,483750,placeholder
0,483749,placeholder
0,483748,placeholder
0,483747,placeholder
0,483746,placeholder
0,483745,placeholder
0,483744,placeholder
0,483742,placeholder
0,483740,placeholder
0,483739,placeholder
0,483738,placeholder
0,483737,placeholder
0,483736,placeholder
0,483735,placeholder
0,483734,placeholder
0,483733,placeholder
0,483732,placeholder
0,483731,placeholder
0,483729,placeholder
0,483728,placeholder
0,483727,placeholder
0,483726,placeholder
0,483725,placeholder
0,483724,placeholder
0,483723,placeholder
0,483722,placeholder
0,483721,placeholder
0,483720,placeholder
0,483719,placeholder
0,483718,placeholder
0,483717,placeholder
0,483716,placeholder
0,483715,placeholder
0,483714,placeholder
0,483713,placeholder
0,483711,placeholder
0,483710,placeholder
0,483708,placeholder
0,483706,placeholder
0,483705,placeholder
0,483704,placeholder
0,483703,placeholder
0,483702,placeholder
0,483701,placeholder
0,483700,placeholder
0,483699,placeholder
0,483698,placeholder
0,483697,placeholder
0,483696,placeholder
0,483695,placeholder
0,483694,placeholder
